fy,abbr,state,County,County 2,"County, State",type,count,avgWage,MedianWageByCounty
FY 2020,PA,Pennsylvania,Columbia County,Columbia,"Columbia, PA",Completer Apprentices,0.0,28.33,28.57
FY 2020,PA,Pennsylvania,Blair County,Blair,"Blair, PA",Completer Apprentices,0.0,27.3,26.96
FY 2020,PA,Pennsylvania,Fayette County,Fayette,"Fayette, PA",Completer Apprentices,0.0,28.93,29.2
FY 2020,PA,Pennsylvania,Elk County,Elk,"Elk, PA",Completer Apprentices,0.0,27.72,27.51
FY 2020,PA,Pennsylvania,Wasington County,Wasington,"Wasington, PA",Completer Apprentices,0.0,45.12,45.12
FY 2020,PA,Pennsylvania,Franklin County,Franklin,"Franklin, PA",Completer Apprentices,0.0,23.3,23.3
FY 2020,PA,Pennsylvania,Cambria County,Cambria,"Cambria, PA",Completer Apprentices,0.0,,0.4
FY 2020,PA,Pennsylvania,Warren County,Warren,"Warren, PA",Completer Apprentices,0.0,23.27,23.27
FY 2020,PA,Pennsylvania,Tioga County,Tioga,"Tioga, PA",Completer Apprentices,0.0,24.22,24.22
FY 2020,PA,Pennsylvania,Northhampton County,Northhampton,"Northhampton, PA",Completer Apprentices,0.0,27.27,27.27
FY 2020,PA,Pennsylvania,McKean County,McKean,"McKean, PA",Completer Apprentices,0.0,24.13,24.13
FY 2020,PA,Pennsylvania,Adams County ,Adams County ,"Adams County , PA",Completer Apprentices,0.0,56.25,56.25
FY 2021,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",Completer Apprentices,676.0,47.26,49.8
FY 2021,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",Completer Apprentices,455.0,33.56,35.48
FY 2021,PA,Pennsylvania,Berks County,Berks,"Berks, PA",Completer Apprentices,380.0,39.42,40.23
FY 2021,PA,Pennsylvania,Butler County,Butler,"Butler, PA",Completer Apprentices,144.0,28.56,24.95
FY 2021,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",Completer Apprentices,126.0,25.02,27.98
FY 2021,PA,Pennsylvania,Dauphin County,Dauphin,"Dauphin, PA",Completer Apprentices,117.0,29.6,30.97
FY 2021,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",Completer Apprentices,113.0,35.08,32
FY 2021,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",Completer Apprentices,99.0,21.93,21.94
FY 2021,PA,Pennsylvania,Schuylkill County,Schuylkill,"Schuylkill, PA",Completer Apprentices,73.0,,21.25
FY 2021,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",Completer Apprentices,71.0,28.41,23
FY 2021,PA,Pennsylvania,Erie County,Erie,"Erie, PA",Completer Apprentices,58.0,26.66,22.23
FY 2021,PA,Pennsylvania,Huntingdon County,Huntingdon,"Huntingdon, PA",Completer Apprentices,54.0,,21.25
FY 2021,PA,Pennsylvania,Somerset County,Somerset,"Somerset, PA",Completer Apprentices,53.0,,22.23
FY 2021,PA,Pennsylvania,York County,York,"York, PA",Completer Apprentices,47.0,25.56,25
FY 2021,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",Completer Apprentices,46.0,37.95,39.5
FY 2021,PA,Pennsylvania,Northumberland County,Northumberland,"Northumberland, PA",Completer Apprentices,41.0,27.23,20
FY 2021,PA,Pennsylvania,Chester County,Chester,"Chester, PA",Completer Apprentices,39.0,24.23,23
FY 2021,PA,Pennsylvania,Centre County,Centre,"Centre, PA",Completer Apprentices,30.0,25.34,20.5
FY 2021,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",Completer Apprentices,28.0,31.56,31.33
FY 2021,PA,Pennsylvania,Greene County,Greene,"Greene, PA",Completer Apprentices,28.0,,22.23
FY 2021,PA,Pennsylvania,Mercer County,Mercer,"Mercer, PA",Completer Apprentices,26.0,22.88,22.23
FY 2021,PA,Pennsylvania,Lehigh County,Lehigh,"Lehigh, PA",Completer Apprentices,26.0,38.46,41.94
FY 2021,PA,Pennsylvania,Columbia County,Columbia,"Columbia, PA",Completer Apprentices,24.0,26.68,26.83
FY 2021,PA,Pennsylvania,Lawrence County,Lawrence,"Lawrence, PA",Completer Apprentices,22.0,30.26,30.16
FY 2021,PA,Pennsylvania,Beaver County,Beaver,"Beaver, PA",Completer Apprentices,22.0,38.17,38.93
FY 2021,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",Completer Apprentices,20.0,31.56,29.93
FY 2021,PA,Pennsylvania,Luzerne County,Luzerne,"Luzerne, PA",Completer Apprentices,19.0,31.52,31.6
FY 2021,PA,Pennsylvania,Lackawanna County,Lackawanna,"Lackawanna, PA",Completer Apprentices,19.0,37.56,38.31
FY 2021,PA,Pennsylvania,Clearfield County,Clearfield,"Clearfield, PA",Completer Apprentices,16.0,13.86,15.73
FY 2021,PA,Pennsylvania,McKean County,McKean,"McKean, PA",Completer Apprentices,14.0,,0.4
FY 2021,PA,Pennsylvania,Elk County,Elk,"Elk, PA",Completer Apprentices,14.0,31.0,31.57
FY 2021,PA,Pennsylvania,Franklin County,Franklin,"Franklin, PA",Completer Apprentices,12.0,21.39,22
FY 2021,PA,Pennsylvania,Armstrong County,Armstrong,"Armstrong, PA",Completer Apprentices,12.0,17.98,18.22
FY 2021,PA,Pennsylvania,Venango County,Venango,"Venango, PA",Completer Apprentices,0.0,18.07,18.5
FY 2021,PA,Pennsylvania,Union County,Union,"Union, PA",Completer Apprentices,0.0,,1.35
FY 2021,PA,Pennsylvania,Crawford County,Crawford,"Crawford, PA",Completer Apprentices,0.0,18.7,18
FY 2021,PA,Pennsylvania,Cambria County,Cambria,"Cambria, PA",Completer Apprentices,0.0,,0.4
FY 2021,PA,Pennsylvania,Blair County,Blair,"Blair, PA",Completer Apprentices,0.0,26.53,26.33
FY 2021,PA,Pennsylvania,Wayne County,Wayne,"Wayne, PA",Completer Apprentices,0.0,,21.25
FY 2021,PA,Pennsylvania,Washington County,Washington,"Washington, PA",Completer Apprentices,0.0,41.42,42.44
FY 2021,PA,Pennsylvania,Cumberland County,Cumberland,"Cumberland, PA",Completer Apprentices,0.0,26.47,26.47
FY 2021,PA,Pennsylvania,Northampton County,Northampton,"Northampton, PA",Completer Apprentices,0.0,27.57,27.57
FY 2021,PA,Pennsylvania,Tioga County,Tioga,"Tioga, PA",Completer Apprentices,0.0,23.22,23.22
FY 2021,PA,Pennsylvania,Fayette County,Fayette,"Fayette, PA",Completer Apprentices,0.0,29.2,29.2
FY 2021,PA,Pennsylvania,Adams County,Adams,"Adams, PA",Completer Apprentices,0.0,51.92,51.92
FY 2022,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",Completer Apprentices,634.0,45.59,48.15
FY 2022,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",Completer Apprentices,623.0,31.67,36.23
FY 2022,PA,Pennsylvania,Berks County,Berks,"Berks, PA",Completer Apprentices,387.0,39.98,40.23
FY 2022,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",Completer Apprentices,172.0,29.17,27.98
FY 2022,PA,Pennsylvania,Butler County,Butler,"Butler, PA",Completer Apprentices,130.0,35.46,41.5
FY 2022,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",Completer Apprentices,106.0,35.3,30.5
FY 2022,PA,Pennsylvania,Dauphin County,Dauphin,"Dauphin, PA",Completer Apprentices,90.0,30.86,34.01
FY 2022,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",Completer Apprentices,75.0,22.5,22
FY 2022,PA,Pennsylvania,Erie County,Erie,"Erie, PA",Completer Apprentices,64.0,28.15,21.41
FY 2022,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",Completer Apprentices,64.0,28.72,23
FY 2022,PA,Pennsylvania,York County,York,"York, PA",Completer Apprentices,44.0,26.6,26.29
FY 2022,PA,Pennsylvania,Somerset County,Somerset,"Somerset, PA",Completer Apprentices,41.0,22.0,22.56
FY 2022,PA,Pennsylvania,Luzerne County,Luzerne,"Luzerne, PA",Completer Apprentices,38.0,31.23,32.61
FY 2022,PA,Pennsylvania,Beaver County,Beaver,"Beaver, PA",Completer Apprentices,38.0,35.3,37.11
FY 2022,PA,Pennsylvania,Chester County,Chester,"Chester, PA",Completer Apprentices,36.0,25.04,24
FY 2022,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",Completer Apprentices,35.0,30.76,31.78
FY 2022,PA,Pennsylvania,Mercer County,Mercer,"Mercer, PA",Completer Apprentices,34.0,23.1,22.56
FY 2022,PA,Pennsylvania,Huntingdon County,Huntingdon,"Huntingdon, PA",Completer Apprentices,34.0,,19.5
FY 2022,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",Completer Apprentices,33.0,22.03,20.63
FY 2022,PA,Pennsylvania,Lehigh County,Lehigh,"Lehigh, PA",Completer Apprentices,33.0,41.55,42.65
FY 2022,PA,Pennsylvania,Lawrence County,Lawrence,"Lawrence, PA",Completer Apprentices,32.0,32.1,32.56
FY 2022,PA,Pennsylvania,Lackawanna County,Lackawanna,"Lackawanna, PA",Completer Apprentices,30.0,42.69,46.24
FY 2022,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",Completer Apprentices,28.0,37.49,42
FY 2022,PA,Pennsylvania,Greene County,Greene,"Greene, PA",Completer Apprentices,25.0,,22.56
FY 2022,PA,Pennsylvania,Centre County,Centre,"Centre, PA",Completer Apprentices,18.0,30.92,20.32
FY 2022,PA,Pennsylvania,Armstrong County,Armstrong,"Armstrong, PA",Completer Apprentices,15.0,20.05,19
FY 2022,PA,Pennsylvania,Northumberland County,Northumberland,"Northumberland, PA",Completer Apprentices,13.0,28.14,27.32
FY 2022,PA,Pennsylvania,Cumberland County,Cumberland,"Cumberland, PA",Completer Apprentices,10.0,28.7,30.16
FY 2022,PA,Pennsylvania,Clearfield County,Clearfield,"Clearfield, PA",Completer Apprentices,10.0,15.73,14.55
FY 2022,PA,Pennsylvania,Washington County,Washington,"Washington, PA",Completer Apprentices,0.0,37.23,29.35
FY 2022,PA,Pennsylvania,McKean County,McKean,"McKean, PA",Completer Apprentices,0.0,24.25,12.29
FY 2022,PA,Pennsylvania,Venango County,Venango,"Venango, PA",Completer Apprentices,0.0,18.93,19.02
FY 2022,PA,Pennsylvania,Indiana County,Indiana,"Indiana, PA",Completer Apprentices,0.0,38.98,19.18
FY 2022,PA,Pennsylvania,Crawford County,Crawford,"Crawford, PA",Completer Apprentices,0.0,27.75,22.5
FY 2022,PA,Pennsylvania,Schuylkill County,Schuylkill,"Schuylkill, PA",Completer Apprentices,0.0,,0.4
FY 2022,PA,Pennsylvania,Elk County,Elk,"Elk, PA",Completer Apprentices,0.0,31.75,33.17
FY 2022,PA,Pennsylvania,Columbia County,Columbia,"Columbia, PA",Completer Apprentices,0.0,31.31,31.31
FY 2022,PA,Pennsylvania,Adams County,Adams,"Adams, PA",Completer Apprentices,0.0,20.0,20
FY 2022,PA,Pennsylvania,Tioga County,Tioga,"Tioga, PA",Completer Apprentices,0.0,23.87,23.87
FY 2022,PA,Pennsylvania,Franklin County,Franklin,"Franklin, PA",Completer Apprentices,0.0,20.75,20.75
FY 2022,PA,Pennsylvania,Cambria County,Cambria,"Cambria, PA",Completer Apprentices,0.0,,1.2
FY 2022,PA,Pennsylvania,Wayne County,Wayne,"Wayne, PA",Completer Apprentices,0.0,,22.23
FY 2022,PA,Pennsylvania,Union County,Union,"Union, PA",Completer Apprentices,0.0,,1.35
FY 2023,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",Completer Apprentices,750.0,48.35,50.63
FY 2023,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",Completer Apprentices,547.0,31.92,37.67
FY 2023,PA,Pennsylvania,Berks County,Berks,"Berks, PA",Completer Apprentices,331.0,39.76,40.23
FY 2023,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",Completer Apprentices,242.0,22.47,22.56
FY 2023,PA,Pennsylvania,Butler County,Butler,"Butler, PA",Completer Apprentices,152.0,36.74,41.5
FY 2023,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",Completer Apprentices,147.0,27.14,27.98
FY 2023,PA,Pennsylvania,Dauphin County,Dauphin,"Dauphin, PA",Completer Apprentices,125.0,30.27,30.75
FY 2023,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",Completer Apprentices,92.0,36.24,33
FY 2023,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",Completer Apprentices,71.0,23.85,24.52
FY 2023,PA,Pennsylvania,York County,York,"York, PA",Completer Apprentices,59.0,28.23,26.58
FY 2023,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",Completer Apprentices,56.0,34.85,35
FY 2023,PA,Pennsylvania,Somerset County,Somerset,"Somerset, PA",Completer Apprentices,50.0,30.0,23.01
FY 2023,PA,Pennsylvania,Beaver County,Beaver,"Beaver, PA",Completer Apprentices,37.0,36.97,37.11
FY 2023,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",Completer Apprentices,35.0,32.05,42
FY 2023,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",Completer Apprentices,34.0,32.79,32.62
FY 2023,PA,Pennsylvania,Chester County,Chester,"Chester, PA",Completer Apprentices,33.0,29.65,27.5
FY 2023,PA,Pennsylvania,Luzerne County,Luzerne,"Luzerne, PA",Completer Apprentices,30.0,34.39,37.08
FY 2023,PA,Pennsylvania,Huntingdon County,Huntingdon,"Huntingdon, PA",Completer Apprentices,30.0,,19.5
FY 2023,PA,Pennsylvania,Mercer County,Mercer,"Mercer, PA",Completer Apprentices,29.0,22.38,23.01
FY 2023,PA,Pennsylvania,Lackawanna County,Lackawanna,"Lackawanna, PA",Completer Apprentices,25.0,36.47,35.94
FY 2023,PA,Pennsylvania,Lehigh County,Lehigh,"Lehigh, PA",Completer Apprentices,24.0,38.42,43.8
FY 2023,PA,Pennsylvania,Lawrence County,Lawrence,"Lawrence, PA",Completer Apprentices,22.0,35.13,34.16
FY 2023,PA,Pennsylvania,Centre County,Centre,"Centre, PA",Completer Apprentices,22.0,,21.45
FY 2023,PA,Pennsylvania,Union County,Union,"Union, PA",Completer Apprentices,21.0,,1.35
FY 2023,PA,Pennsylvania,Greene County,Greene,"Greene, PA",Completer Apprentices,20.0,,23.01
FY 2023,PA,Pennsylvania,Erie County,Erie,"Erie, PA",Completer Apprentices,17.0,28.09,31
FY 2023,PA,Pennsylvania,Clearfield County,Clearfield,"Clearfield, PA",Completer Apprentices,12.0,16.66,18.12
FY 2023,PA,Pennsylvania,Venango County,Venango,"Venango, PA",Completer Apprentices,10.0,17.62,18.38
FY 2023,PA,Pennsylvania,McKean County,McKean,"McKean, PA",Completer Apprentices,0.0,38.03,38.72
FY 2023,PA,Pennsylvania,Northumberland County,Northumberland,"Northumberland, PA",Completer Apprentices,0.0,28.57,28.74
FY 2023,PA,Pennsylvania,Cumberland County,Cumberland,"Cumberland, PA",Completer Apprentices,0.0,27.78,29.25
FY 2023,PA,Pennsylvania,Franklin County,Franklin,"Franklin, PA",Completer Apprentices,0.0,23.8,24
FY 2023,PA,Pennsylvania,Wayne County,Wayne,"Wayne, PA",Completer Apprentices,0.0,,0.4
FY 2023,PA,Pennsylvania,Elk County,Elk,"Elk, PA",Completer Apprentices,0.0,34.44,35.5
FY 2023,PA,Pennsylvania,Cambria County,Cambria,"Cambria, PA",Completer Apprentices,0.0,30.12,29.57
FY 2023,PA,Pennsylvania,Washington County,Washington,"Washington, PA",Completer Apprentices,0.0,47.19,40.8
FY 2023,PA,Pennsylvania,Armstrong County,Armstrong,"Armstrong, PA",Completer Apprentices,0.0,18.94,19
FY 2023,PA,Pennsylvania,Tioga County,Tioga,"Tioga, PA",Completer Apprentices,0.0,25.58,27.22
FY 2023,PA,Pennsylvania,Indiana County,Indiana,"Indiana, PA",Completer Apprentices,0.0,35.82,38.98
FY 2023,PA,Pennsylvania,Clinton County,Clinton,"Clinton, PA",Completer Apprentices,0.0,24.5,24.5
FY 2023,PA,Pennsylvania,Crawford County,Crawford,"Crawford, PA",Completer Apprentices,0.0,21.75,21.75
FY 2023,PA,Pennsylvania,Schuylkill County,Schuylkill,"Schuylkill, PA",Completer Apprentices,0.0,,0.4
FY 2023,PA,Pennsylvania,Fayette County,Fayette,"Fayette, PA",Completer Apprentices,0.0,31.13,31.13
FY 2023,PA,Pennsylvania,Columbia County,Columbia,"Columbia, PA",Completer Apprentices,0.0,29.28,29.28
FY 2024,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",Completer Apprentices,752.0,48.91,50.53
FY 2024,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",Completer Apprentices,745.0,23.39,23.01
FY 2024,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",Completer Apprentices,698.0,33.08,35.02
FY 2024,PA,Pennsylvania,Berks County,Berks,"Berks, PA",Completer Apprentices,431.0,39.81,40.23
FY 2024,PA,Pennsylvania,Centre County,Centre,"Centre, PA",Completer Apprentices,187.0,16.0,23.03
FY 2024,PA,Pennsylvania,Butler County,Butler,"Butler, PA",Completer Apprentices,162.0,40.71,44.15
FY 2024,PA,Pennsylvania,Dauphin County,Dauphin,"Dauphin, PA",Completer Apprentices,120.0,32.52,32.73
FY 2024,PA,Pennsylvania,Cumberland County,Cumberland,"Cumberland, PA",Completer Apprentices,103.0,34.59,19.18
FY 2024,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",Completer Apprentices,98.0,35.36,29.4
FY 2024,PA,Pennsylvania,Forest County,Forest,"Forest, PA",Completer Apprentices,84.0,,19.18
FY 2024,PA,Pennsylvania,Erie County,Erie,"Erie, PA",Completer Apprentices,71.0,30.07,23.03
FY 2024,PA,Pennsylvania,Wayne County,Wayne,"Wayne, PA",Completer Apprentices,68.0,,20.23
FY 2024,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",Completer Apprentices,64.0,26.16,24.99
FY 2024,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",Completer Apprentices,62.0,30.06,23
FY 2024,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",Completer Apprentices,58.0,29.76,27.98
FY 2024,PA,Pennsylvania,York County,York,"York, PA",Completer Apprentices,49.0,27.41,26.29
FY 2024,PA,Pennsylvania,Huntingdon County,Huntingdon,"Huntingdon, PA",Completer Apprentices,49.0,,23.03
FY 2024,PA,Pennsylvania,Lawrence County,Lawrence,"Lawrence, PA",Completer Apprentices,44.0,44.81,45.55
FY 2024,PA,Pennsylvania,Indiana County,Indiana,"Indiana, PA",Completer Apprentices,41.0,,19.18
FY 2024,PA,Pennsylvania,Schuylkill County,Schuylkill,"Schuylkill, PA",Completer Apprentices,40.0,,19.18
FY 2024,PA,Pennsylvania,Luzerne County,Luzerne,"Luzerne, PA",Completer Apprentices,34.0,35.99,34.99
FY 2024,PA,Pennsylvania,Northumberland County,Northumberland,"Northumberland, PA",Completer Apprentices,31.0,34.99,19.18
FY 2024,PA,Pennsylvania,Greene County,Greene,"Greene, PA",Completer Apprentices,30.0,,22.23
FY 2024,PA,Pennsylvania,Lehigh County,Lehigh,"Lehigh, PA",Completer Apprentices,28.0,44.87,45.15
FY 2024,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",Completer Apprentices,28.0,28.55,24.43
FY 2024,PA,Pennsylvania,Washington County,Washington,"Washington, PA",Completer Apprentices,26.0,29.51,24.02
FY 2024,PA,Pennsylvania,Clearfield County,Clearfield,"Clearfield, PA",Completer Apprentices,26.0,16.42,19.18
FY 2024,PA,Pennsylvania,Mercer County,Mercer,"Mercer, PA",Completer Apprentices,25.0,22.99,23.03
FY 2024,PA,Pennsylvania,Beaver County,Beaver,"Beaver, PA",Completer Apprentices,24.0,36.32,38.16
FY 2024,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",Completer Apprentices,21.0,33.78,34.07
FY 2024,PA,Pennsylvania,Lackawanna County,Lackawanna,"Lackawanna, PA",Completer Apprentices,20.0,38.31,36.36
FY 2024,PA,Pennsylvania,Somerset County,Somerset,"Somerset, PA",Completer Apprentices,19.0,24.67,23.47
FY 2024,PA,Pennsylvania,Chester County,Chester,"Chester, PA",Completer Apprentices,18.0,28.5,26
FY 2024,PA,Pennsylvania,Crawford County,Crawford,"Crawford, PA",Completer Apprentices,16.0,21.5,19.18
FY 2024,PA,Pennsylvania,Cambria County,Cambria,"Cambria, PA",Completer Apprentices,14.0,32.5,30
FY 2024,PA,Pennsylvania,McKean County,McKean,"McKean, PA",Completer Apprentices,10.0,38.11,38.72
FY 2024,PA,Pennsylvania,Venango County,Venango,"Venango, PA",Completer Apprentices,0.0,20.27,19.65
FY 2024,PA,Pennsylvania,Elk County,Elk,"Elk, PA",Completer Apprentices,0.0,37.29,37.92
FY 2024,PA,Pennsylvania,Franklin County,Franklin,"Franklin, PA",Completer Apprentices,0.0,23.22,22.54
FY 2024,PA,Pennsylvania,Union County,Union,"Union, PA",Completer Apprentices,0.0,,0.4
FY 2024,PA,Pennsylvania,Tioga County,Tioga,"Tioga, PA",Completer Apprentices,0.0,27.48,27.48
FY 2024,PA,Pennsylvania,Fayette County,Fayette,"Fayette, PA",Completer Apprentices,0.0,,21.11
FY 2024,PA,Pennsylvania,Perry County,Perry,"Perry, PA",Completer Apprentices,0.0,18.0,18
FY 2025,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",Completer Apprentices,809.0,24.48,24.03
FY 2025,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",Completer Apprentices,713.0,48.38,52.74
FY 2025,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",Completer Apprentices,521.0,33.89,33.7
FY 2025,PA,Pennsylvania,Berks County,Berks,"Berks, PA",Completer Apprentices,388.0,39.9,40.23
FY 2025,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",Completer Apprentices,359.0,42.6,20.73
FY 2025,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",Completer Apprentices,159.0,25.87,23
FY 2025,PA,Pennsylvania,Butler County,Butler,"Butler, PA",Completer Apprentices,148.0,40.77,50.2
FY 2025,PA,Pennsylvania,Dauphin County,Dauphin,"Dauphin, PA",Completer Apprentices,120.0,29.53,27.12
FY 2025,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",Completer Apprentices,78.0,30.42,25
FY 2025,PA,Pennsylvania,York County,York,"York, PA",Completer Apprentices,59.0,30.66,29.75
FY 2025,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",Completer Apprentices,52.0,29.19,28.03
FY 2025,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",Completer Apprentices,33.0,37.12,36.57
FY 2025,PA,Pennsylvania,Lehigh County,Lehigh,"Lehigh, PA",Completer Apprentices,31.0,45.27,47.33
FY 2025,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",Completer Apprentices,31.0,23.33,19
FY 2025,PA,Pennsylvania,Beaver County,Beaver,"Beaver, PA",Completer Apprentices,30.0,37.44,38.93
FY 2025,PA,Pennsylvania,Lackawanna County,Lackawanna,"Lackawanna, PA",Completer Apprentices,28.0,38.46,38.31
FY 2025,PA,Pennsylvania,Lawrence County,Lawrence,"Lawrence, PA",Completer Apprentices,26.0,37.87,36.45
FY 2025,PA,Pennsylvania,Chester County,Chester,"Chester, PA",Completer Apprentices,25.0,27.34,26
FY 2025,PA,Pennsylvania,Luzerne County,Luzerne,"Luzerne, PA",Completer Apprentices,24.0,39.17,37.3
FY 2025,PA,Pennsylvania,Erie County,Erie,"Erie, PA",Completer Apprentices,15.0,32.4,31.75
FY 2025,PA,Pennsylvania,McKean County,McKean,"McKean, PA",Completer Apprentices,13.0,39.35,40.27
FY 2025,PA,Pennsylvania,Clearfield County,Clearfield,"Clearfield, PA",Completer Apprentices,12.0,17.56,17.39
FY 2025,PA,Pennsylvania,Union County,Union,"Union, PA",Completer Apprentices,11.0,,1.35
FY 2025,PA,Pennsylvania,Washington County,Washington,"Washington, PA",Completer Apprentices,10.0,33.99,30.25
FY 2025,PA,Pennsylvania,Venango County,Venango,"Venango, PA",Completer Apprentices,10.0,19.79,20
FY 2025,PA,Pennsylvania,Mercer County,Mercer,"Mercer, PA",Completer Apprentices,10.0,22.58,21
FY 2025,PA,Pennsylvania,Franklin County,Franklin,"Franklin, PA",Completer Apprentices,0.0,24.5,26
FY 2025,PA,Pennsylvania,Cumberland County,Cumberland,"Cumberland, PA",Completer Apprentices,0.0,35.72,34.89
FY 2025,PA,Pennsylvania,Cambria County,Cambria,"Cambria, PA",Completer Apprentices,0.0,32.05,0.4
FY 2025,PA,Pennsylvania,Northumberland County,Northumberland,"Northumberland, PA",Completer Apprentices,0.0,31.59,31.2
FY 2025,PA,Pennsylvania,Indiana County,Indiana,"Indiana, PA",Completer Apprentices,0.0,43.96,43.01
FY 2025,PA,Pennsylvania,Elk County,Elk,"Elk, PA",Completer Apprentices,0.0,36.19,33.17
FY 2025,PA,Pennsylvania,Somerset County,Somerset,"Somerset, PA",Completer Apprentices,0.0,20.0,20
FY 2025,PA,Pennsylvania,Crawford County,Crawford,"Crawford, PA",Completer Apprentices,0.0,23.08,22
FY 2025,PA,Pennsylvania,Armstrong County,Armstrong,"Armstrong, PA",Completer Apprentices,0.0,22.25,22.25
FY 2025,PA,Pennsylvania,Tioga County,Tioga,"Tioga, PA",Completer Apprentices,0.0,28.52,28.52
FY 2025,PA,Pennsylvania,Centre County,Centre,"Centre, PA",Completer Apprentices,0.0,19.0,19
FY 2025,PA,Pennsylvania,Wayne County,Wayne,"Wayne, PA",Completer Apprentices,0.0,,0.4
FY 2025,PA,Pennsylvania,Mifflin County,Mifflin,"Mifflin, PA",Completer Apprentices,0.0,17.0,17
FY 2025,PA,Pennsylvania,Fayette County,Fayette,"Fayette, PA",Completer Apprentices,0.0,32.26,32.26
FY 2026,PA,Pennsylvania,Lancaster County,Lancaster,"Lancaster, PA",Completer Apprentices,278.0,27.08,24.57
FY 2026,PA,Pennsylvania,Philadelphia County,Philadelphia,"Philadelphia, PA",Completer Apprentices,234.0,53.89,44.82
FY 2026,PA,Pennsylvania,Allegheny County,Allegheny,"Allegheny, PA",Completer Apprentices,202.0,35.03,36.95
FY 2026,PA,Pennsylvania,Berks County,Berks,"Berks, PA",Completer Apprentices,119.0,41.0,40.23
FY 2026,PA,Pennsylvania,Montgomery County,Montgomery,"Montgomery, PA",Completer Apprentices,47.0,33.26,42
FY 2026,PA,Pennsylvania,Butler County,Butler,"Butler, PA",Completer Apprentices,18.0,27.18,24.94
FY 2026,PA,Pennsylvania,Lycoming County,Lycoming,"Lycoming, PA",Completer Apprentices,17.0,31.02,28.55
FY 2026,PA,Pennsylvania,York County,York,"York, PA",Completer Apprentices,15.0,28.77,30.88
FY 2026,PA,Pennsylvania,Bucks County,Bucks,"Bucks, PA",Completer Apprentices,13.0,36.04,26.5
FY 2026,PA,Pennsylvania,Delaware County,Delaware,"Delaware, PA",Completer Apprentices,12.0,23.36,24
FY 2026,PA,Pennsylvania,Lebanon County,Lebanon,"Lebanon, PA",Completer Apprentices,0.0,38.3,36.84
FY 2026,PA,Pennsylvania,Chester County,Chester,"Chester, PA",Completer Apprentices,0.0,32.53,32
FY 2026,PA,Pennsylvania,Westmoreland County,Westmoreland,"Westmoreland, PA",Completer Apprentices,0.0,32.13,29
FY 2026,PA,Pennsylvania,Northumberland County,Northumberland,"Northumberland, PA",Completer Apprentices,0.0,32.53,32.8
