fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2026,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,10013,25.49,25.00
FY 2020,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,2464,17.95,21.00
FY 2021,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,2531,18.68,20.49
FY 2022,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,3166,20.46,19.07
FY 2023,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,3922,21.18,21.00
FY 2024,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,3798,22.84,22.00
FY 2025,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,5849,22.57,22.75
FY 2026,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,2018,24.13,23.34
FY 2020,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,2891,27.37,27.04
FY 2021,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,3171,19.80,17.49
FY 2022,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,3470,20.59,18.30
FY 2023,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,3663,23.80,21.20
FY 2024,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,3573,30.45,23.48
FY 2025,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,2071,25.28,20.10
FY 2026,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,308,25.43,20.00
FY 2020,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,416,16.35,14.99
FY 2021,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,627,17.17,16.00
FY 2022,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,653,18.09,16.00
FY 2023,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,617,18.86,18.00
FY 2024,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,584,19.61,18.00
FY 2025,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,734,21.19,19.10
FY 2026,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,165,20.18,18.00
FY 2020,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,4568,16.11,14.50
FY 2021,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,4763,16.26,14.82
FY 2022,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,5798,17.65,15.58
FY 2023,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,7202,20.07,17.00
FY 2024,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,9349,20.93,18.00
FY 2025,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,10796,21.73,18.75
FY 2026,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,3662,21.67,19.50
FY 2020,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,3806,14.13,13.93
FY 2021,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,4477,14.63,16.00
FY 2022,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,4589,15.93,17.00
FY 2023,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,3324,18.26,17.82
FY 2024,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,4287,18.85,18.68
FY 2025,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,5284,20.13,19.63
FY 2026,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,2402,21.21,19.25
FY 2020,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1480,19.41,33.53
FY 2021,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1750,19.51,34.59
FY 2022,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1264,20.53,29.32
FY 2023,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1510,21.59,37.75
FY 2024,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1749,22.47,39.61
FY 2025,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1591,23.08,41.22
FY 2026,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,501,22.96,32.34
FY 2020,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,1155,16.76,15.00
FY 2021,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,1015,16.70,16.31
FY 2022,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,1458,17.52,15.00
FY 2023,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,2086,17.68,15.50
FY 2024,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,2035,19.68,16.55
FY 2025,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,2227,21.71,19.00
FY 2026,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,1172,24.09,18.50
FY 2020,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,4639,21.50,18.10
FY 2021,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,5376,21.75,19.10
FY 2022,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,7796,21.74,19.94
FY 2023,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,7883,22.76,19.48
FY 2024,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,8702,23.03,19.80
FY 2025,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,9335,24.35,21.48
FY 2026,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,New Apprentices,3253,23.57,22.69
FY 2020,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,8191,15.87,17.55
FY 2021,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,9532,16.43,17.53
FY 2022,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,10616,17.35,19.84
FY 2023,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,10774,17.88,19.43
FY 2024,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,11516,18.84,20.05
FY 2025,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,11463,19.24,22.16
FY 2026,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,4417,18.07,22.12
FY 2020,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,2858,17.22,15.00
FY 2021,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,3986,18.92,15.00
FY 2022,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,5032,18.87,15.68
FY 2023,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,5646,19.29,16.00
FY 2024,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,4183,20.02,17.00
FY 2025,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,4656,22.60,17.50
FY 2026,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,2158,24.73,18.00
FY 2020,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,653,16.51,18.00
FY 2021,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,895,17.26,18.00
FY 2022,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,1070,17.93,18.70
FY 2023,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,1110,18.78,20.44
FY 2024,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,1698,20.38,20.95
FY 2025,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,2178,20.26,19.00
FY 2026,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,682,19.66,21.80
FY 2020,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,1897,17.03,14.00
FY 2021,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,1996,17.86,14.02
FY 2022,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,3118,19.16,17.20
FY 2023,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,3600,19.06,16.86
FY 2024,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,3704,20.63,16.06
FY 2025,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,2981,20.79,16.65
FY 2026,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,New Apprentices,1078,21.63,16.54
FY 2020,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,804,14.88,14.33
FY 2021,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,1086,15.59,13.69
FY 2022,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,1386,16.68,15.00
FY 2023,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,1670,19.23,15.57
FY 2024,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,2019,19.40,16.06
FY 2025,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,1774,18.92,17.31
FY 2026,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,774,21.18,18.00
FY 2020,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,465,17.63,16.73
FY 2021,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,512,17.85,18.12
FY 2022,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,454,19.28,18.00
FY 2023,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,752,19.83,17.56
FY 2024,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,861,21.95,19.00
FY 2025,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,998,22.04,19.76
FY 2026,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,332,21.18,20.00
FY 2020,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,5244,17.46,16.25
FY 2021,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,5878,17.95,16.00
FY 2022,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,6288,18.85,15.05
FY 2023,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,7002,19.15,16.95
FY 2024,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,8223,20.70,17.75
FY 2025,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,4120,21.92,19.24
FY 2026,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,New Apprentices,807,22.36,20.50
FY 2020,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,2346,18.93,16.50
FY 2021,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,3218,20.51,20.13
FY 2022,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,2421,20.61,15.85
FY 2023,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,2770,20.41,15.66
FY 2024,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,1798,20.78,18.31
FY 2025,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,3058,21.74,16.51
FY 2026,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,589,22.06,17.00
FY 2020,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,5951,16.50,16.00
FY 2021,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,6075,18.63,16.85
FY 2022,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,6592,19.80,18.00
FY 2023,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,6976,20.68,19.14
FY 2024,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,8604,21.17,19.74
FY 2025,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,8659,21.53,20.21
FY 2026,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,2997,23.15,19.00
FY 2020,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,2783,22.70,23.77
FY 2021,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,3195,24.02,24.95
FY 2022,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,3806,24.51,26.51
FY 2023,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,4623,26.08,26.16
FY 2024,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,4334,28.09,26.66
FY 2025,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,4997,29.39,26.19
FY 2026,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,1263,29.64,28.81
FY 2020,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,1529,14.98,16.21
FY 2021,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,1792,14.20,12.87
FY 2022,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,2747,17.14,15.18
FY 2023,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,3836,18.16,18.25
FY 2024,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,2698,17.84,18.75
FY 2025,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,2999,18.48,18.00
FY 2026,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,912,19.30,20.00
FY 2020,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,7181,19.03,15.28
FY 2021,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,7811,20.08,16.51
FY 2022,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,11098,20.02,16.35
FY 2023,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,11884,21.07,18.33
FY 2024,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,13851,20.25,18.00
FY 2025,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,12122,20.94,15.65
FY 2026,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,5094,21.31,19.00
FY 2020,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,701,17.10,16.96
FY 2021,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,710,17.50,16.51
FY 2022,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,839,19.95,18.00
FY 2023,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,913,21.00,20.00
FY 2024,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,1022,22.29,20.00
FY 2025,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,892,22.91,20.00
FY 2026,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,420,23.19,21.00
FY 2020,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,2493,12.50,13.50
FY 2021,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,2961,12.14,18.55
FY 2022,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,3659,12.40,18.88
FY 2023,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,3635,16.41,24.95
FY 2024,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,3320,19.82,25.67
FY 2025,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,4004,18.88,22.06
FY 2026,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,1291,18.64,21.00
FY 2020,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,1986,20.09,19.59
FY 2021,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,1785,19.87,19.15
FY 2022,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,2155,22.23,19.82
FY 2023,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,2943,23.14,23.84
FY 2024,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,2840,20.52,20.00
FY 2025,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,3988,22.01,21.00
FY 2026,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,1387,23.27,21.83
FY 2020,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1069,17.69,15.00
FY 2021,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1171,16.32,15.73
FY 2022,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1350,18.20,16.00
FY 2023,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1522,18.95,16.17
FY 2024,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1567,20.34,17.76
FY 2025,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1325,19.18,18.00
FY 2026,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,475,21.09,17.47
FY 2020,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,1735,19.99,17.00
FY 2021,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,2615,22.44,17.00
FY 2022,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,3604,21.94,17.30
FY 2023,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,4437,23.33,19.00
FY 2024,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,4543,23.73,19.78
FY 2025,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,5420,25.16,20.00
FY 2026,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,1784,24.27,19.23
FY 2020,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,755,16.85,14.68
FY 2021,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,978,18.16,16.75
FY 2022,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,1388,18.76,18.50
FY 2023,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,1669,18.73,18.87
FY 2024,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,1236,20.19,17.76
FY 2025,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,934,22.33,16.76
FY 2026,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,207,31.91,30.70
FY 2020,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,4124,19.87,17.43
FY 2021,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,4450,21.45,20.12
FY 2022,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,5696,20.01,17.68
FY 2023,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,6140,23.78,20.84
FY 2024,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,5887,23.96,19.61
FY 2025,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,7025,23.98,21.00
FY 2026,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,756,23.12,20.00
FY 2020,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,4532,13.58,11.00
FY 2021,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,4790,14.73,13.00
FY 2022,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,5229,16.33,13.00
FY 2023,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,6298,17.14,14.50
FY 2024,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,5335,16.87,14.78
FY 2025,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,6949,18.54,15.00
FY 2026,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,New Apprentices,2000,18.84,15.75
FY 2020,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,265,22.42,26.17
FY 2021,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,362,21.05,26.91
FY 2022,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,461,22.85,28.47
FY 2023,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,485,22.36,37.16
FY 2024,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,914,19.96,28.17
FY 2025,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,1199,19.66,31.24
FY 2026,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,234,20.66,32.14
FY 2020,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,7596,16.90,17.00
FY 2021,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,7829,18.62,17.93
FY 2022,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,9766,18.88,17.70
FY 2023,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,9705,19.60,19.98
FY 2024,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,11545,20.78,20.44
FY 2025,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,11836,21.71,21.06
FY 2026,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,3769,23.54,21.26
FY 2020,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,659,19.46,17.11
FY 2021,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,423,19.65,19.41
FY 2022,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,561,20.23,17.90
FY 2023,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,954,21.84,19.75
FY 2024,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,1156,20.80,18.00
FY 2025,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,1226,21.05,18.22
FY 2026,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,546,21.37,18.25
FY 2020,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,2859,26.36,25.27
FY 2021,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,3532,25.08,23.48
FY 2022,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,4118,25.31,23.06
FY 2023,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,3842,25.30,22.38
FY 2024,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,4066,26.31,24.31
FY 2025,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,2787,24.77,23.06
FY 2026,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,480,24.22,23.84
FY 2020,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,4294,18.07,16.45
FY 2021,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,5022,18.23,18.03
FY 2022,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,5022,19.46,19.32
FY 2023,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,5716,20.44,19.98
FY 2024,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,6091,21.85,19.70
FY 2025,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,6170,22.08,21.35
FY 2026,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,2000,21.88,20.55
FY 2020,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,911,16.26,15.00
FY 2021,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,1006,17.75,16.35
FY 2022,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,927,18.76,18.00
FY 2023,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,1019,20.30,20.00
FY 2024,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,1023,21.61,20.25
FY 2025,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,1024,22.22,21.00
FY 2026,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,312,23.31,22.00
FY 2020,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,2381,15.50,13.25
FY 2021,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,2951,16.00,15.00
FY 2022,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,4411,16.79,15.46
FY 2023,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,4294,18.94,16.00
FY 2024,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,4290,19.54,17.00
FY 2025,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,4043,20.28,16.20
FY 2026,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,1453,23.66,16.27
FY 2020,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,373,16.96,15.66
FY 2021,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,554,17.02,16.37
FY 2022,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,603,18.72,18.82
FY 2023,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,838,19.77,18.53
FY 2024,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,887,19.52,19.00
FY 2025,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,976,22.36,17.50
FY 2026,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,307,24.97,20.00
FY 2020,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,2083,15.32,15.36
FY 2021,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,3074,14.87,14.00
FY 2022,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,4006,17.00,16.00
FY 2023,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,7226,18.28,18.43
FY 2024,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,5572,18.18,18.52
FY 2025,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,4761,19.29,18.00
FY 2026,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,2220,19.97,19.50
FY 2020,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,8397,15.94,15.50
