fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2020,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,17868,17.27,16.00
FY 2021,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,18259,18.21,16.75
FY 2022,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,17956,18.34,16.94
FY 2023,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,18574,19.69,17.82
FY 2024,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,20950,20.52,18.47
FY 2025,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,23307,21.01,19.00
FY 2026,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,23581,21.24,19.00
FY 2020,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,11328,22.09,24.09
FY 2021,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,10789,22.76,24.47
FY 2022,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,11080,23.47,24.14
FY 2023,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,11614,24.61,23.68
FY 2024,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,11326,26.26,24.97
FY 2025,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,12639,27.60,25.10
FY 2026,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,12103,27.85,26.37
FY 2020,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,1918,15.56,14.14
FY 2021,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,2010,14.79,13.93
FY 2022,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,2773,16.83,14.07
FY 2023,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,3890,17.93,16.00
FY 2024,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,3460,18.75,15.75
FY 2025,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,3948,19.23,17.75
FY 2026,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,3586,19.51,18.00
FY 2020,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,13251,17.96,15.07
FY 2021,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,13910,18.45,15.05
FY 2022,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,16626,19.08,16.00
FY 2023,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,19012,20.23,17.95
FY 2024,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,21775,20.53,17.10
FY 2025,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,22079,21.11,17.00
FY 2026,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,22077,21.18,17.00
FY 2020,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,1631,16.73,16.00
FY 2021,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,1645,17.01,16.00
FY 2022,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,1831,18.20,17.26
FY 2023,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,1997,19.38,18.00
FY 2024,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,2280,20.37,18.14
FY 2025,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,2399,21.17,19.00
FY 2026,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,2557,21.45,20.00
FY 2020,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,3605,13.77,16.54
FY 2021,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,3746,14.05,17.00
FY 2022,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,4031,14.33,17.75
FY 2023,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,4275,16.75,22.38
FY 2024,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,4190,19.83,23.68
FY 2025,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,4824,19.62,23.50
FY 2026,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,4661,19.89,23.50
FY 2020,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,5195,19.80,18.24
FY 2021,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,5161,19.96,18.74
FY 2022,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,5128,20.98,19.00
FY 2023,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,6009,22.00,19.59
FY 2024,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,6404,21.33,20.30
FY 2025,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,8158,21.52,21.00
FY 2026,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,8419,21.65,21.07
FY 2020,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,2862,17.16,14.50
FY 2021,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,2768,17.15,15.00
FY 2022,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,2835,17.69,15.10
FY 2023,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,3039,18.39,16.00
FY 2024,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,3355,19.47,17.00
FY 2025,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,3485,19.59,17.50
FY 2026,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,3519,19.83,17.50
FY 2020,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,7408,18.59,17.26
FY 2021,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,7997,19.80,17.00
FY 2022,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,8278,20.62,17.00
FY 2023,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,9035,21.65,17.69
FY 2024,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,9492,22.38,18.39
FY 2025,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,10885,23.21,19.72
FY 2026,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,11081,23.15,19.72
FY 2020,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,2085,16.71,15.10
FY 2021,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,2120,17.28,16.57
FY 2022,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,2356,17.74,18.50
FY 2023,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,2905,18.45,17.25
FY 2024,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,2976,19.38,17.51
FY 2025,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,3308,19.64,17.80
FY 2026,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,3404,20.07,17.80
FY 2020,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,15282,20.81,18.14
FY 2021,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,15516,21.67,20.95
FY 2022,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,15394,21.81,19.91
FY 2023,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,15876,23.61,20.81
FY 2024,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,16894,23.69,19.61
FY 2025,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,19427,24.14,20.50
FY 2026,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,19272,24.28,23.00
FY 2020,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,11252,14.71,11.44
FY 2021,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,9248,14.55,12.00
FY 2022,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,10080,15.26,12.60
FY 2023,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,11264,16.01,13.53
FY 2024,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,10999,16.29,14.00
FY 2025,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,11707,17.48,15.00
FY 2026,NC,North Carolina,* State Total,* State Total,"* State Total, NC",State,Active Apprentices,11952,17.59,15.44
FY 2020,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,929,20.84,24.30
FY 2021,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,953,20.68,25.43
FY 2022,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1060,21.42,28.00
FY 2023,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1155,21.70,27.00
FY 2024,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1522,21.22,25.65
FY 2025,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1975,20.87,27.22
FY 2026,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1905,21.10,26.47
FY 2020,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,21848,16.73,17.25
FY 2021,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,22055,17.29,17.30
FY 2022,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,23723,17.93,17.43
FY 2023,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,23960,18.57,18.88
